"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Feb-2023","EQ","445.20","445.20","435.25","443.00","436.20","436.50","440.11","500.40","366.20",8957930,"3,942,499,886.25",165217
"20-Feb-2023","EQ","441.80","445.30","436.25","439.90","442.15","443.00","441.37","500.40","366.20",9717197,"4,288,869,342.40",148264
"17-Feb-2023","EQ","436.00","442.45","436.00","441.60","439.60","439.90","440.30","511.50","366.20",6955445,"3,062,455,950.25",128577
"16-Feb-2023","EQ","445.00","448.25","440.50","444.15","440.85","441.60","443.43","511.50","366.20",7670688,"3,401,448,898.50",135525
"15-Feb-2023","EQ","438.50","444.90","438.15","440.55","443.65","444.15","441.35","511.50","366.20",9857016,"4,350,353,618.35",165475
"14-Feb-2023","EQ","442.00","444.30","434.40","441.05","440.80","440.55","439.74","511.50","366.20",8565559,"3,766,584,785.50",165241
"13-Feb-2023","EQ","445.50","446.90","438.90","445.85","441.00","441.05","441.95","511.50","366.20",8333767,"3,683,146,606.05",138344
"10-Feb-2023","EQ","437.95","447.80","431.20","436.75","444.40","445.85","440.73","511.50","366.20",14798390,"6,522,076,821.95",239763
"09-Feb-2023","EQ","440.00","440.70","433.55","440.10","436.80","436.75","436.02","511.50","366.20",7349418,"3,204,465,989.70",100774
"08-Feb-2023","EQ","435.45","441.00","431.55","435.45","440.05","440.10","437.21","511.50","366.20",8668267,"3,789,895,025.35",141672
"07-Feb-2023","EQ","441.70","443.40","432.90","442.00","435.30","435.45","436.64","511.50","366.20",9023645,"3,940,063,886.30",115344
"06-Feb-2023","EQ","444.45","447.00","439.55","445.45","441.70","442.00","442.71","511.50","366.20",6795084,"3,008,254,384.10",109590
"03-Feb-2023","EQ","447.00","450.80","442.35","444.80","444.75","445.45","445.83","520.00","366.20",13067403,"5,825,882,651.35",158619
"02-Feb-2023","EQ","446.75","449.20","440.70","446.65","444.40","444.80","444.35","520.00","366.20",11344554,"5,041,005,372.05",156780
"01-Feb-2023","EQ","456.80","461.50","437.65","452.10","446.35","446.65","452.16","520.00","366.20",23798589,"10,760,685,912.05",247831
"31-Jan-2023","EQ","443.70","454.80","440.90","443.65","451.50","452.10","450.19","520.00","366.20",25154475,"11,324,204,933.50",305763
"30-Jan-2023","EQ","445.60","450.00","437.65","445.60","443.55","443.65","443.81","520.00","366.20",18316743,"8,129,180,071.90",264923
"27-Jan-2023","EQ","438.00","453.40","435.15","419.05","445.25","445.60","444.86","520.00","366.20",63360467,"28,186,509,532.55",621705
"25-Jan-2023","EQ","423.75","427.25","417.70","422.15","418.60","419.05","420.93","520.00","366.20",22975581,"9,671,023,651.60",260064
"24-Jan-2023","EQ","410.00","424.00","410.00","408.40","422.00","422.15","419.81","520.00","366.20",30197475,"12,677,158,297.25",281507
"23-Jan-2023","EQ","407.00","410.95","405.00","403.15","408.00","408.40","409.03","520.00","366.20",13113183,"5,363,652,738.90",144746